RATINGS COLLECTION
{'_id': ObjectId('5b04970c87977f1fec0fb923'), 'userId': 1, 'movieId': 31, 'rating': 2.5, 'timestamp': 1260759144}
{'_id': ObjectId('5b04970c87977f1fec0fb924'), 'userId': 1, 'movieId': 1029, 'rating': 3.0, 'timestamp': 1260759179}
{'_id': ObjectId('5b04970c87977f1fec0fb925'), 'userId': 1, 'movieId': 1061, 'rating': 3.0, 'timestamp': 1260759182}
{'_id': ObjectId('5b04970c87977f1fec0fb926'), 'userId': 1, 'movieId': 1129, 'rating': 2.0, 'timestamp': 1260759185}
{'_id': ObjectId('5b04970c87977f1fec0fb927'), 'userId': 1, 'movieId': 1172, 'rating': 4.0, 'timestamp': 1260759205}
{'_id': ObjectId('5b04970c87977f1fec0fb928'), 'userId': 1, 'movieId': 1263, 'rating': 2.0, 'timestamp': 1260759151}
{'_id': ObjectId('5b04970c87977f1fec0fb929'), 'userId': 1, 'movieId': 1287, 'rating': 2.0, 'timestamp': 1260759187}
{'_id': ObjectId('5b04970c87977f1fec0fb92a'), 'userId': 1, 'movieId': 1293, 'rating': 2.0, 'timestamp': 1260759148}
{'_id': ObjectId('5b04970c87977f1fec0fb92b'), 'userId': 1, 'movieId': 1339, 'rating': 3.5, 'timestamp': 1260759125}
{'_id': ObjectId('5b04970c87977f1fec0fb92c'), 'userId': 1, 'movieId': 1343, 'rating': 2.0, 'timestamp': 1260759131}
RATINGS COLLECTION
{'_id': ObjectId('61acc543684aa13cd6a6f406'), 'userId': 1, 'movieId': 661, 'rating': 3, 'timestamp': 978302109}
{'_id': ObjectId('61acc543684aa13cd6a6f407'), 'userId': 1, 'movieId': 914, 'rating': 3, 'timestamp': 978301968}
{'_id': ObjectId('61acc543684aa13cd6a6f408'), 'userId': 1, 'movieId': 3408, 'rating': 4, 'timestamp': 978300275}
{'_id': ObjectId('61acc543684aa13cd6a6f409'), 'userId': 1, 'movieId': 2355, 'rating': 5, 'timestamp': 978824291}
{'_id': ObjectId('61acc543684aa13cd6a6f40a'), 'userId': 1, 'movieId': 1197, 'rating': 3, 'timestamp': 978302268}
{'_id': ObjectId('61acc543684aa13cd6a6f40b'), 'userId': 1, 'movieId': 1287, 'rating': 5, 'timestamp': 978302039}
{'_id': ObjectId('61acc543684aa13cd6a6f40c'), 'userId': 1, 'movieId': 2804, 'rating': 5, 'timestamp': 978300719}
{'_id': ObjectId('61acc543684aa13cd6a6f40d'), 'userId': 1, 'movieId': 594, 'rating': 4, 'timestamp': 978302268}
{'_id': ObjectId('61acc543684aa13cd6a6f40e'), 'userId': 1, 'movieId': 919, 'rating': 4, 'timestamp': 978301368}
{'_id': ObjectId('61acc543684aa13cd6a6f40f'), 'userId': 1, 'movieId': 595, 'rating': 5, 'timestamp': 978824268}
RATINGS COLLECTION
{'_id': ObjectId('61acc5be7523c1a58545a7ab'), 'userId': 1, 'movieId': 661, 'rating': 3, 'timestamp': 978302109}
{'_id': ObjectId('61acc5be7523c1a58545a7ac'), 'userId': 1, 'movieId': 914, 'rating': 3, 'timestamp': 978301968}
{'_id': ObjectId('61acc5be7523c1a58545a7ad'), 'userId': 1, 'movieId': 3408, 'rating': 4, 'timestamp': 978300275}
{'_id': ObjectId('61acc5be7523c1a58545a7ae'), 'userId': 1, 'movieId': 2355, 'rating': 5, 'timestamp': 978824291}
{'_id': ObjectId('61acc5be7523c1a58545a7af'), 'userId': 1, 'movieId': 1197, 'rating': 3, 'timestamp': 978302268}
{'_id': ObjectId('61acc5be7523c1a58545a7b0'), 'userId': 1, 'movieId': 1287, 'rating': 5, 'timestamp': 978302039}
{'_id': ObjectId('61acc5be7523c1a58545a7b1'), 'userId': 1, 'movieId': 2804, 'rating': 5, 'timestamp': 978300719}
{'_id': ObjectId('61acc5be7523c1a58545a7b2'), 'userId': 1, 'movieId': 594, 'rating': 4, 'timestamp': 978302268}
{'_id': ObjectId('61acc5be7523c1a58545a7b3'), 'userId': 1, 'movieId': 919, 'rating': 4, 'timestamp': 978301368}
{'_id': ObjectId('61acc5be7523c1a58545a7b4'), 'userId': 1, 'movieId': 595, 'rating': 5, 'timestamp': 978824268}
RATINGS COLLECTION
{'_id': ObjectId('61b31a107e3931110a0f3042'), 'userId': 1, 'movieId': 661, 'rating': 3, 'timestamp': 978302109}
{'_id': ObjectId('61b31a107e3931110a0f3043'), 'userId': 1, 'movieId': 914, 'rating': 3, 'timestamp': 978301968}
{'_id': ObjectId('61b31a107e3931110a0f3044'), 'userId': 1, 'movieId': 3408, 'rating': 4, 'timestamp': 978300275}
{'_id': ObjectId('61b31a107e3931110a0f3045'), 'userId': 1, 'movieId': 2355, 'rating': 5, 'timestamp': 978824291}
{'_id': ObjectId('61b31a107e3931110a0f3046'), 'userId': 1, 'movieId': 1197, 'rating': 3, 'timestamp': 978302268}
{'_id': ObjectId('61b31a107e3931110a0f3047'), 'userId': 1, 'movieId': 1287, 'rating': 5, 'timestamp': 978302039}
{'_id': ObjectId('61b31a107e3931110a0f3048'), 'userId': 1, 'movieId': 2804, 'rating': 5, 'timestamp': 978300719}
{'_id': ObjectId('61b31a107e3931110a0f3049'), 'userId': 1, 'movieId': 594, 'rating': 4, 'timestamp': 978302268}
{'_id': ObjectId('61b31a107e3931110a0f304a'), 'userId': 1, 'movieId': 919, 'rating': 4, 'timestamp': 978301368}
{'_id': ObjectId('61b31a107e3931110a0f304b'), 'userId': 1, 'movieId': 595, 'rating': 5, 'timestamp': 978824268}
RATINGS COLLECTION
{'_id': ObjectId('61b31aa2c577a01b50f1cb8c'), 'userId': 1, 'movieId': 661, 'rating': 3, 'timestamp': 978302109}
{'_id': ObjectId('61b31aa2c577a01b50f1cb8d'), 'userId': 1, 'movieId': 914, 'rating': 3, 'timestamp': 978301968}
{'_id': ObjectId('61b31aa2c577a01b50f1cb8e'), 'userId': 1, 'movieId': 3408, 'rating': 4, 'timestamp': 978300275}
{'_id': ObjectId('61b31aa2c577a01b50f1cb8f'), 'userId': 1, 'movieId': 2355, 'rating': 5, 'timestamp': 978824291}
{'_id': ObjectId('61b31aa2c577a01b50f1cb90'), 'userId': 1, 'movieId': 1197, 'rating': 3, 'timestamp': 978302268}
{'_id': ObjectId('61b31aa2c577a01b50f1cb91'), 'userId': 1, 'movieId': 1287, 'rating': 5, 'timestamp': 978302039}
{'_id': ObjectId('61b31aa2c577a01b50f1cb92'), 'userId': 1, 'movieId': 2804, 'rating': 5, 'timestamp': 978300719}
{'_id': ObjectId('61b31aa2c577a01b50f1cb93'), 'userId': 1, 'movieId': 594, 'rating': 4, 'timestamp': 978302268}
{'_id': ObjectId('61b31aa2c577a01b50f1cb94'), 'userId': 1, 'movieId': 919, 'rating': 4, 'timestamp': 978301368}
